1	Happy Hour	A-to-Z-13.png	Gulping with Gulp<br />Week 6: “Y” to “Z”		Big Gulp	7:00 PM CDT	<br />Ye Olde Nostalgia Place<br />6521 Abrams Rd <br />Dallas, TX 75231	https://maps.google.com/maps?q=Nostalgia+Place+6521+Abrams+Rd++Dallas,+TX+75231&hl=en&sll=32.820665,-96.731542&sspn=0.980955,1.509247&t=m&z=17&iwloc=A	$0.00 — Pay-as-you-go			7:02 PM CDT	Friday November, 1, 2013	Wow — we're already at “Y” and today (11/01) should be the final week of ‘Gulping with Gulp’ (barring any bonus weeks) (possible spoiler alert?).<br /><br />I may have had to cheat a tad, but for two hours only, I got the management of 1 Nostalgia Place to agree to renaming their place “Ye Olde Nostalgia Place” just for nostalgia reasons, along with other reasons (like first the “Yale Street Ice House” changing names to “SMU Blvd Ice House”, and then closing all together).<br /><br />[Note: Don't question the management on this, I've also gotten them to agree to not even acknowledging the name change.]<br /><br />What: Gulping with Gulp: Week 6<br />Where: Ye Olde Nostalgia Place; 6521 Abrams Rd Dallas, TX 75231<br />When: 7pm, Nov 1 (Pork Me Now and Bacon Drippin’s’ Birthday)<br />Hare: Big Gulp<br />Hash Cash: $0 — pay as you go<br /><br /><br />The series so far:<br /><img src="A-to-Z-11.jpg" /><br /><br /><img src="A-to-Z-12.jpg" />	Fri, Nov 1, 2013 at 5:52 PM	 
14	FU H3 Hash	fu	Spec's parking lot<br />Eastchase Pkwy		Katman Goo &amp; Secret Cohare	7:00 PM CST		http://www.fuh3.com/?ai1ec_event=open-fuh3-83-november-14th-open&instance_id=2387	$7.00			5:53 PM CST	Thursday, November 14, 2013		Thu, Nov 14, 2013 at 9:22 PM	 
15	Happy Hour	hh	Breaking in the<br />Den of Debauchery		Pipe Sloth	7:00 PM CST	<br />Pipe Sloth’s<br />1900 Lake Crest Ln. <br />Plano, TX	https://maps.google.com/maps?q=1900+Lake+Crest+Ln.++Plano,+TX&hl=en&sll=32.820665,-96.731542&sspn=0.930177,0.86792&hnear=1900+Lake+Crest+Ln,+Plano,+Texas+75023&t=m&z=17&iwloc=A				5:52 PM CST	Friday November, 15, 2013	Breaking in the Den of Debauchery aka Alex's house warming party!<br /><br />Time: 7pm <br /><br />Place: 1900 Lake Crest Ln. Plano, TX<br /><br />Attention Disco Divas and 70’s Porn Stars! Tonight is your night to shine! Comb out your afros and glam staches (thanks to hipsters they are so back in!) and boogie your way on over for a night of disco dancing and 70’s pole spinning. The bar is officially open so bring over a bottle to fill it! I will actually buy mixers this time! The party won’t stop until the sun comes up and even then that only warrants a theme change! Saturday’s theme is Hung Over Hookers so not much is needed! Mimosas will probably be in order so bring champagne. There will be egg bake of some sort. I’m sure pizza will be ordered at some point. Saturday night will be rollerderby night!!! (Come on! Electric boogaloo. It’s the same thing as Friday night just with a helmet. Or with lingerie. Win Win) Sunday’s theme is Maid Service. I’m sure we will need more champagne.<br /><br />This house warming party will be an epic event that you don’t want to miss! You’re probably going to need to bring a cooler. And a bag for all your costume changes. And your own damn pillow for the love nest that will surely happen at some point. Peeps got to sleep!<br /><br />We encourage you all to cum for the "Happy Hour", leave for the Hash, then cum back and keep partying!!!	Tue, Nov 12, 2013 at 3:24 PM	 
16	Dallas Hash	dh	Garage Sale<br />and Hash	891	Fucking Beaver Shit	3:00 PM CST	<br />5644 Winton St<br />Dallas, TX 75206	https://maps.google.com/maps?q=5644+Winton+St+Dallas,+TX+75206&hl=en&sll=32.820665,-96.731542&sspn=1.046729,1.061554&hnear=5644+Winton+St,+Dallas,+Texas+75206&t=m&z=17	$7.00			5:52 PM CST	Saturday November, 16, 2013	<br />Do you have a bunch of stuff laying around that you would to contribute to a garage sale for your favorite charity? Well if your favorite charity just so happens to be the hash...or beer, then you are in luck!! Proceeds will go toward a kick ass New Years Day Party and other Dallas H3 activities for next year!!<br /><br />We are holding a Dallas Hash Garage Sale on 11/16. There will also be a hash this day at 3pm. The Garage Sale starts at 7am. We will be providing beer all day for the folks that show up to help set up and sell stuff and then more for the actual hash.<br /><br />STFU Special Fred has offered to pick up and store big items that you are contributing. Please <a href="mailto:stfu_special_fred@me.com">contact him</a> off list to arrange for pickup. stfu_special_fred@me.com or 214 649 2713<br /><br />So dig through your closets, your garages, or wherever you keep your junk and get your shit together. You can bring it this Saturday and I will collect it. Or any other Dallas Hash. Or bring it with you to the actual garage sale.<br /><br />Location will be at IIIs house:<br />5644 Winton St<br />Dallas, TX 75206.<br /><br />If there are any questions, please contact Daddy's Big Load (rachel.jerome78@gmail.com) or anyone else involved in Dallas Admin.	Wed, Nov 6, 2013 at 10:10 AM	 
17	Bike Hash	bh	Wanker Wenis’<br />Birthday		Over Easy, TLamps<br />THomo &amp; DRubber	1:00 PM CHT (a little bit after 1pm CST)	Mockingbird Station (default DUH3 start)	https://maps.google.com/maps?q=Trinity+Hall+Irish+Pub+%26+Restaurant,+East+Mockingbird+Lane,+Dallas,+TX&hl=en&ll=32.838094,-96.775689&spn=0.03393,0.066047&sll=37.0625,-95.677068&sspn=64.153332,135.263672&oq=trinity+hall&hq=Trinity+Hall+Irish+Pub+%26+Restaurant,&hnear=E+Mockingbird+Ln,+Dallas,+Texas&t=m&z=15&iwloc=A	$3.00			5:51 PM CST	Sunday November, 17, 2013	Since October's deluge down in Austin / Smithville had me wank for last month's bike hash, I'm (with a lot of help from a few others) going to try again this month.<br /><br />What: B3H3 Hash / Poker Run<br />When: Sunday, Nov 17 (Wanker Wenis' Birthday)<br />Hash Time: 1pm CHT (a little bit after 1pm CST)<br />Hash Cash: $3<br />Hash Start: Mockingbird Station (default DUH3 start)<br />Hares: Over Easy, TLamps, THomo, and DRubber<br /><br />Really (in)expensive prizes given to the best poker hand and perhaps the best riding time.<br /><br />(Everyone should have about the same riding time since you won't know where to go until everyone gets a card at each card-stop.)<br /><br />Hopefully Flash Card will be there to show us how she got her name.<br />	Fri, Nov 15, 2013 at 10:40 AM	 
18	NODUH Hash	nd	Birthday Hash	90	Martha F. Stewart	7:15 PM CST	<br />Behind CiCi’s Pizza<br />832 W. Spring Creek Pkwy<br />Plano, TX 75023<br />N 33.05495, W 96.70855	https://maps.google.com/maps?q=N+33.05495,+W+96.70855(NODUH+Starts+Here)&hl=en&sll=32.820664,-96.731542&sspn=0.849393,1.259308&t=m&z=17&iwloc=A	$7.00			5:51 PM CST	Monday, November 18, 2013	Time: <strong>7:15pm - NOTE THE LATER START</strong><br /><br />Start: Behind CiCi’s Pizza<br /> 832 W. Spring Creek Pkwy<br /> Plano, TX 75023<br /> N 33.05495, W 96.70855<br /><br />Hare: Martha F. Stewart<br /><br />Hash Cash: $7.00<br /><br />Bring: Flashlights<br /> Virgins<br /><br />It’s my birthday and I’m laying a trail for all of you. Come on out and help me celebrate.<br /><br />It’s that time of year so make sure you bring your flashlights. No dry clothes needed this time.	Sun, Nov 17, 2013 at 7:56 PM	 
20	Dallas Urban Hash	du	JFK 50<sup>th</sup> Anniversary	225	Wrong Dong Thong<br />&amp; The Price is Wrong, Bitch!	7:00 PM CST	<br />Hickory House Barbecue<br />600 S Riverfront Blvd<br />Dallas, TX 75207	https://www.google.com/maps?q=The+Hickory+House&hl=en&sll=32.768935,-96.809952&sspn=0.007858,0.010536&t=m&z=17&iwloc=A	$7.00	Friendly		5:50 PM CST	Wednesday November, 20, 2013	JFK 50TH ANNIVERSARY MAMORIAL TRAIL<br /> <br /><br />Two Wrongs don’t make a right, but they do make for a righteous JFK Mamorial Trail.<br /><br /> <br /><br />You will see the JFK Memorial, you will see the Grassy Knoll, you will see the School Book Suppository; there will be shots (Drunk not Fired), and there will be plenty of beer…. BUT there won’t be mile long YBFs (maybe), there won’t be T/E splits (maybe), and there won’t be hashers lost on trail (hopefully). <br /><br /> <br /><br />So bring your virgins and cum pay homage to our 35th President: <br /><br /> <br /><br />In the words of JFK –<br /><br />“My fellow hashers, ask not what your hash can do for you, ask what you can do for your hash”<br /><br /> <br /><br />If you end up at PARKLAND….. It’s your own DAMN fault!!<br />	Wed, Nov 20, 2013 at 7:14 PM	 
21	FU! Thursday is a Drinking Day!	fh	Bogart’s Fort Worth		Sister Scrotum Von Tramp	7:00 PM CST		http://www.fuh3.com/?ai1ec_event=open-fuh3-thursday-is-a-drinking-day-november-21st-open&instance_id=2390				5:50 PM CST	Thursday, November 21, 2013		Thu, Nov 14, 2013 at 9:23 PM	 
22	Happy Hour	hh				7:00 PM CST						5:49 PM CST	Friday November, 22, 2013		 	 
23	Fort Worth Hash	fw	27<sup>th</sup> Analversary	734	Beaver Breath<br/>Gangrene Hose <br/>Mystery Hare	3:00 PM CST	Corner of S. Robinson Dr. and Jamie Dr. <br/>Grand Prairie, Texas	https://maps.google.com/maps?q=32.64192,-97.01413(Park+Here!)&hl=en&ll=32.641977,-97.014116&spn=0.008501,0.004538&sll=32.64192,-97.01413&sspn=0.002125,0.001135&t=h&z=17&iwloc=A	$7.00 &mdash; BYOB prelube beer			5:49 PM CST	Saturday November, 23, 2013	<br /><b>BEAVER BREATH’S 27<sup>TH</sup> ANALVERSARY HASH</b><br />Saturday, November 23, 2013 – Start Time: 3:00PM<br />Hares: Beaver Breath, Gangrene Hose and Mystery Hare<br />Location: Corner of S. Robinson Dr. and Jamie Dr. Grand Prairie, Texas<br />Diserections:<ol><li>From Dallas or Fort Worth head towards State Highway 360 and head South</li><li>Turn left on West Camp Wisdom Road</li><li>Pass through the Lakeridge Parkway intersection</li><li>Turn right on S. Robinson Dr.</li><li>Turn right on Jamie Dr.</li><li>Park as close to the intersection as you can….please.</li><li>Look for Hashers</li></ol><br />Special Distructions:<ul><li>Wear long sleeves and pants</li><li>Bring dry clothes to change into</li><li>Smoked Calypso Pork Loins will be served</li><li>Maybe….maybe a small fire….we will see</li><li>In either case BRING WARM CLOTHES BECAUSE IT IS GOING TO BE COLDER THAN A WITCHES TITS!</li></ul>	Wed, Nov 20, 2013 at 7:25 PM	 
27	Dallas Urban Hash	du	Baylor DART Station	226	Blond Dike Bar<br />Whithey MF Houston	7:00 PM CST	<br />Baylor Dart Station<br />Junius Street and Malcom X <br />Deep Ellum<br />Dallas, Texas	https://maps.google.com/maps?q=Baylor+DART+Station&hl=en&ll=32.786995,-96.782974&spn=0.008478,0.008433&sll=32.820664,-96.731542&sspn=1.084819,1.079407&t=m&hq=Baylor+DART+Station&z=17&iwloc=B	$7.00	Friendly		5:48 PM CST	Wednesday, November 27, 2013	Start: Baylor Dart Station (near Deep Ellum)<br /><br />Time: 7:00PM<br /><br />Hash Cash: $7<br /><br />Turd Friendly<br /><br />BYOB Pre Lube<br /><br />Hares: Whitney MF Houston and Blonde Dyke Bar<br />Description: Whitney MF Houston and Blonde Dyke Bar (known as Blonde Dyke Bitch in OKC) have laid a shitty yet pretty trail for you! MILF Shake- there are no Arkansas so your ass better be there!!! Blah blah blah just show up....<br /><br />What to bring: VIRGINS, flashlights, good moods, VIRGINS, and technology is encouraged on trail, so bring it!<br /><br />	Wed, Dec 18, 2013 at 6:01 PM	 
28	FU H3 Hash	fu	Moiser Valley<br />Tube Drive		S.O.A.P.	7:00 PM CST		http://www.fuh3.com/?ai1ec_event=fuh3-84-november-28th-super-homo-spanksgiving-hash&instance_id=2399	$7.00			5:48 PM CST	Thursday, November 28, 2013		Tue, Nov 26, 2013 at 7:31 PM	 
29	Happy Hour	hh	Twilite Lounge		FBS & PBH's Last<br />Dallas Hurrah	6:00 PM CST	<br />Twilite Lounge<br />2640 Elm Street<br />Deep Ellum<br />Dallas, Texas 75226	https://maps.google.com/maps?q=Twilite+Lounge&hl=en&ll=32.784316,-96.784959&spn=0.016001,0.027208&t=m&hq=Twilite+Lounge&hnear=Dallas,+Texas&z=16&iwloc=A				5:48 PM CST	Friday November, 29, 2013	Listen up, wankers! We're heading west in a few short weeks, but<br />first we're going to get drunk! We're hosting happy hour next Friday,<br />so come have a drink with us before we head out.<br /><br />When: Friday, November 29, 2013, 6:00 p.m.<br />Where: Twilite Lounge, 2640 Elm Street, Dallas, Texas 75226 - Deep Ellum<br /><br />ON-ON!<br />Pro Bone Her & Fucking Beaver Shit	Fri, Nov 22, 2013 at 2:49 PM	 
30	Dallas Hash	dh	Turkey Leftovers Hash	892	Martha F. Stewart	3:00 PM CST	Mockingbird Station:<br />NE corner of lot where Worcola St. crosses tracks<br />5465 E. Mockingbird Lane<br />Dallas, TX 75206	http://goo.gl/maps/W6gHB	$7.00	Firendly		5:48 PM CST	Saturday November, 30, 2013	Come work off those Thanksgiving dinners with a trail that’ll be mostly shiggy free. Bring vessels and virgins.	Fri, Nov 29, 2013 at 11:20 AM	 
