DAY	KENNEL	TYPE	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
15	Fort Worth Hash	fw	Birthday Hash	741	Whitney MF Houston<br />mystery hares	3:00 PM CST	<br />Centerport/DFW Airport Station<br />14470 Statler Blvd<br />Fort Worth, Texas 76155	https://maps.google.com/maps?q=32.818792,-97.051186(Centerport+MF+Station)&hl=en&ll=32.818801,-97.051206&spn=0.032784,0.030684&sll=32.820664,-96.731542&sspn=1.049037,0.981903&t=h&z=15&iwloc=A	$7.00 &mdash; BYOB prelube &mdash; Virgins pay nothing!			6:38 PM CST	Saturday, February 15, 2014	On-WmfH 44th B-Day Hash Bash<br /><br />February 15, 2014<br /><br />Time: 3:00 PM CST<br /><br />Start address: Centerport/DFW Airport Station<br /><br />TRE Western Fare Zone<br /><br />14470 Statler Blvd, Ft 76155<br /><br />(southeast of Trinity Blvd and 360S)<br /><br />32.818792,-97.051186<br /><br />Hares & Harriettes:<br /><br />Whitney muthafuckin Houston, EeeyWhore<br /><br />Suck a Dick For a Taco, Little Schweaty Balls<br /><br />Hash Cash: $7:00<br /><br />BYOB Pre-lube<br /><br />Virgins pay Nada, Nothing!!! So bring Virgins!!!!<br /><br />Turds: Friendly<br /><br />Bring virgins, change of clothes, shoes, chairs, vessels, bring your<br /><br />usual hash gear. There might be water, nothing serious maybe ankle high, if any!!<br /><br />LQQK for hashers!!!!Whitney muthafuckin Houston's Birthday Hash<br /><br />Grab some virgins & cum be part of the MADNESS!!!! Your fellow<br /><br />hashers from FWH3 & I will be hosting one hell of a hash to celebrate my 44th birthday!!! Since I couldn't get 44 co-hares to lay this trail, I got 4. This perfect weather that the sun gods have gifted us, gave us the opportunity to lay an amazing trail for you half-minds. We are gonna get shiggy wit it, we can't go with out shiggy and since I am Aquarius, there will be agua, a lot of water. I'm not saying you will get wet, but there is a lot of water. Maybe ankle deep at the most. Beer check, shot check, 44 boobs check at circle, yeah that would be awesome haha! And for grub we will be serving up homemade authentic Mexican food, beef & chicken fajitas with rice & frijoles, grilled onion & peppers, Pico de Gallo....oh yeah I better stop, that's food porn at it's best!! Hope to see you all there!!! On-On Whitney muthafuckin Houston!!!!<br /><br />	Fri, Feb 14, 2014 at 10:35 AM
16	Bike Hash	bh			Hall's Lil Wee-Wee<br />MissTreeHare	1:00 PM CST			$3.00			6:39 PM CST	Sunday, February 16, 2014	This month get two events for the price of one!<br />That's right, this Sunday, February 16th, the Beer Bitchin' Bikers (B3) H3 will host TWO biking events; one for 'serious' (yeah, right) mountain bikers, and one that even the casual cruiser rider can enjoy!<br /><br />Make that, two events for the price of *none* (if you take the trail to Rockledge Park)!<br />This month's B3H3, normally a deal at $3 a hash, will be FREE this Sunday.<br /><br />Event 1:  Group Ride at Northshore.<br />Time: 10:00 AM CST<br />Start address: Rockledge Park, Grapevine Lake<br /><br />Event 2:  Bike Pub / Margarita Crawl<br />Time:  2:00 PM CST<br />Bike Crawl to bars starting at Peace Burger.<br />Hare(s):  Hall's Lil Wee-Wee (looks a bit like Lil Chicken Choker after he's been in the cold water for a while and is wearing a helmet) and a MissTreeHare.<br /><br />On-On,<br />Deflated Rubber<br />__._,_.___<br />	Thu, Feb 13, 2014 at 12:36 AM
19	Dallas Urban Hash	du	Aquarian/Piscean Birthday Cusp Hash	237	Whitney Houston<br />TPIW, B	7:00 PM CST	<br />Mockingbird Station<br />5321 E Mockingbird Ln,<br />Dallas, TX 75206	http://goo.gl/maps/mtPo3	$7.00	Friendly		6:41 PM CST	Wednesday, February 19, 2014	CUM celebrate our birthdays and Hash on the CUSP as we say Goodbye Aquarians and Hello Pisceans!!   We will have a shitty trail, beer check, a starry shot check! Wear tie dye or hippy attire, channel your inner Moon Child and cum celebrate with us!!	Mon, Feb 17, 2014 at 8:21 PM
20	FU H3 Hash	fu			OPEN!	7:00 PM CST		http://www.fuh3.com/?ai1ec_event=open-fuh3-91-february-20th-open&instance_id=2428	$7.00			6:42 PM CST	Thursday, February 20, 2014		Thu, Jan 2, 2014 at 10:56 AM
21	Happy Hour	hh				7:00 PM CST						6:43 PM CST	Friday, February 21, 2014		Sun, Nov 10, 2013 at 1:04 AM
22	Dallas Hash	dh	Wanker Yanker’s 75th BD	899	Double Dribble	3:00 PM CST			$7.00			6:44 PM CST	Saturday, February 22, 2014		Wed, Dec 18, 2013 at 10:09 AM
23	Cowtown Marathon Beer Check	cowtown.png	Cowtown Marathon<br />Beer Check			7:30 AM CST	<br />2200 Rogers Rd<br />Fort Worth, TX	http://goo.gl/maps/blMz6	Bring food!			6:44 PM CST	Sunday, February 23, 2014	MOOOOOOOOOOOO!!!<br />Looking for recruits to cum and hand out beer (and drink beer) with the Racists, umm I mean Marathoners on Sunday, February 23rd. It will be in the usual location starting at 8:30am ish (get there early, cause they close off the roads) 2200 Rogers Rd, Fort Worth, TX.<br /> <br />There will be breakfast burritos and Mimosas. Feel free to bring some food to share, cause we won't be able to leave to eat until we run out of beer.<br /> <br />Need hashers, Justs, Virgins, or Cows to cum pass out beer to runners. Good opportunity to spread some Hashing Love! From either big city, take I-30 to University Dr in Fort Worth. Go south on University past Trinity River then turn right on Colonial Pkwy. Take a right on Rogers Rd to parking lot. If streets are blocked, additional parking at the Dickey's BBQ on Colonial Pkwy and S. University. Don't miss out on the hash cumaraderie!!<br />ON After to be announced (maybe Superhomo will host at his place again???)<br /> <br /> We will also have a Facebook event page for information and signups<br />	Tue, Jan 14, 2014 at 10:47 AM
24	NODUH Hash	nd		97		7:00 PM CST			$7.00			6:45 PM CST	Monday, February 24, 2014		Sun, Nov 10, 2013 at 12:12 AM
26	Dallas Urban Hash	du		238	Leaky Butt Plug	7:00 PM CST			$7.00			6:47 PM CST	Wednesday, February 26, 2014		Wed, Jan 29, 2014 at 10:29 PM
27	FU! Thursday is a Drinking Day!	fh			OPEN!	7:00 PM CST		http://www.fuh3.com/?ai1ec_event=open-fuh3-thursday-is-a-drinking-day-february-27th-open&instance_id=2434				6:48 PM CST	Thursday, February 27, 2014		Thu, Jan 2, 2014 at 10:45 AM
28	FWH3 Mini Pub Crawl	fp	FWH3 Mini<br />Pub Crawl		Fort Worth H<sup>3</sup>	6:00 PM CST						6:48 PM CST	Friday, February 28, 2014	Starting this Friday FWH3 will begin hosting a monthly Happy Hour Mini Pubcrawl.<br /> <br />The Pubcrawl will be at the same 3 locations monthly so there will be no guessing where the hashers will be drinking. So cum on out and help us kick off the first monthly FWH3 mini pubcrawl.<br /> <br />Time : 6:00pm ish or when someone gets there<br /> <br />Start Where :<br />Houston Street Bar & Patio<br />902 Houston St<br />Fort Worth, TX 76102<br /> <a href="https://maps.google.com/maps?q=Houston+Street+Bar+%26+Patio,+Houston+Street,+Fort+Worth,+TX&hl=en&ll=32.751595,-97.330327&spn=0.008455,0.006276&sll=32.820664,-96.731542&sspn=1.08135,0.803375&oq=Houston+Street+Bar+%26+Patio&t=m&z=17&iwloc=A">Get Map</a><br />then we will migrate to either<br /> <br />Rick O'shea's Pub<br />904 Houston St<br />Fort Worth, TX 76102<br /> <a href="https://maps.google.com/maps?q=O%27shea%27s+Pub,+fort+worth+,+texas&hl=en&ll=32.751568,-97.330263&spn=0.008455,0.006276&sll=32.820664,-96.731542&sspn=1.08135,0.803375&t=m&z=17&iwloc=A">Get Map</a><br />or<br /> <br />Paddy Red's Irish Pub<br />903 Throckmorton<br />Fort Worth, Tx 76102<br /> <a href="https://maps.google.com/maps?q=Paddy+Red%27s+Irish+Pub,+fort+worth+,+texas&hl=en&ll=32.751324,-97.330853&spn=0.008455,0.006276&sll=32.751568,-97.330263&sspn=0.008455,0.006276&t=m&z=17&iwloc=A">Get Map</a>	Wed, Jan 22, 2014 at 5:51 PM
28	North Texas Irish Festival	irish.png	North Texas Irish Festival			7:00 PM CST						6:48 PM CST	Friday, February 28, 2014	North Texas Irish Festival<br /><a href="http://www.ntif.org/">website</a>	Fri, Feb 7, 2014 at 6:40 PM
