DAY	KENNEL	TYPE	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	TWILIGHT	DESC	UPDATE
18	Dallas Hash	dh	White Trash Hash	915	Closet Porn Star, Just Dustin	4:00 PM CDT	Mesquite Metro Airport, 1280 Airport Blvd,  Mesquite, TX 75181	https://www.google.com/maps/place/32%C2%B045'04.6%22N+96%C2%B031'55.0%22W/@32.751274,-96.531933,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0	$7.00	Yes but tethered.		7:15 PM CDT	Saturday, October 18, 2014	Please join us for the 4th Anal White Trash Hash!<br /> <br />Pro Bone Her, Closet Porn Star and Just Dustin come from humble beginnings. From the trailer parks of Mesquite, Texas, to the back hills of Hot Springs, Arkansas, our roots rest deep in moonshine and truck stops. But Pro Bone Her has moved on up in the world and far away…so CPS had to find a fill in. Join me and virgin hare Just Dustin this Saturday as we embrace our past and show off our redneck side for your entertainment. WHITE TRASH/REDNECK ATTIRE IS HIGHLY ENCOURAGED! Trail & On-In are TURD friendly, but MUST be on leashes.<br /> <br /> <br />As an added bonus, your hares are providing some poor man's food for your enjoyment.  Weinies (with all the fixins') on the grill at the on-in!  Everybody likes weinies. Also, there is an opportunity to mingle amongst the redneck white trash masses. Races start at 8:00 and tickets are $25 cash.  If we get some people interested in staying for the races, we could get a group rate. Here is the link to the event:  <br /><br /><a href="http://www.dirtfan.com/track/USA/Texas/Mesquite/Devils_Bowl_Speedway/schedule/">Devils’s Bowl Schedule</a><br /><br /><a href="http://www.devilsbowl.com/index.html">Devil’s Bowl</a><br /><br />ON-MOONSHINE!<br />Just Dustin and Closet Porn Star (and Pro Bone Her in spirit)	Thu, Oct 16, 2014 at 11:30 AM (cwinborn)
19	Bike Hash	bh	Garland, <br />Land of Gar		Auditurd & <br />Bovine’s Gay Lover<br /> 	1:00 PM CDT	<br />One Eleven Ranch Park<br />2121 Brand Road<br />Garland, Texas	https://www.google.com/maps/place/2121+E+Brand+Rd,+Garland,+TX+75044/@32.9713546,-96.6237266,16z/data=!4m2!3m1!1s0x864c1c6248e7301f:0x2497fdd27ed408e1	$3.00			7:14 PM CDT	Sunday, October 19, 2014	Bike Hash this Sunday starting point:  One Eleven Ranch Park, 2121 Brand Road, Garland.<br /> <br />Meet at 1pm.<br /> <br />Trail: street, sidewalk, grass, very little shiggy shit.<br /> <br />Hares: auditurd and clod hopper<br /> <br />80% will be road bike friendly, but the remaining 20% leads me to say mountain bike preferred. There are some patches of the trail that I need to recce further and I bet they will be too rough for a road bike.<br /><br />Any questions: auditurd cell 469.363.2774<br />	Fri, Oct 17, 2014 at 4:19 PM (cwinborn)
20	NODUH Hash	nd	Autumn = Death Watch	116	Jedi Mind Wank	7:00 PM CDT	101 West Renner Rd.<br />Richardson, Tx 75082	https://www.google.com/maps/place/101+W+Renner+Rd,+Richardson,+TX+75082/@32.9959446,-96.7071433,15z/data=!4m2!3m1!1s0x864c18d6229e2a03:0xd62bbae8cce8c656	$7.00	I don’t give a Flying.  Just keep them from biting me. (Yes)		7:13 PM CDT	Monday, October 20, 2014	Title : Autumn = Death watch<br /><br />NoDUH trail  10/20/2014 that’s tomorrow less than 24 hours from now.  <br /> <br />Start: 101 West Renner Road Richardson TX 75082    - Why cause it is near my house.  And it is 11:15pm,  yeah it is an office building.  They didn’t have security when I worked there.  It is not one company.<br /><br />Hare: Jedi Mind Wank<br /><br />Date: 10/20/2014 said that <br /><br />Time: 7:00 pm.  Time waits for no one.  <br /><br />Hash Cash: $7 big ones.  Break your piggy bank<br /><br />Weather: Awesome!!  Love this stuff.   Things dying everywhere.<br /><br />There will be beer.  After that things are a bit unclear.  But I am sure the crystal will clear and sight will return before 7pm tomorrow.    Good news you probably won’t get wet, yeah and bad news you probably won’t get laid.   About what happens on average the other 364 days of your year.  So come out and drink with me.  It is how I keep from lighting and candle and passing it:  No sir not alone.  <br /><br />Turd:  I don’t give a Flying.  Just keep them from biting me. <br /><br />Bring:<br />Lights<br />Virgins  (Who am I kidding, pulse?)<br />Sweater – it’s cold. <br />Yada yada yada  - come drink.	Sun, Oct 19, 2014 at 11:54 PM (John)
21	Tasty Tuesdays	tt	It’s my Beerthday		Red Rocket Rider	7:00 PM CDT	<br />Royal Pour<br />9909 Garland Rd<br />Dallas, TX 75218	https://www.google.com/maps/place/The+Royal+Pour/@32.83769,-96.697852,17z/data=!3m1!4b1!4m2!3m1!1s0x864ea10dd9e84249:0xf119a1252b858b28				7:12 PM CDT	Tuesday, October 21, 2014	Its My 21st BEERday in Dallas.<br />That's right I’ll be 21 (years in dallas) on the 21st. <br /> <br />Cume celebrate it with me at the ROYAL POUR<br /> (aka The Local Pour ) (aka The Abbey) <br />7:00- ?<br /> <br />Royal Pour<br /> 9909 Garland Rd, Dallas, TX 75218<br />7:00-???<br />FYI:  kitchen closes at 9:00, so if you cum sometime after 9:00 ,,,, look for me at <a href="https://www.google.com/maps/place/Goodfriend+Beer+Garden+and+Burger+House/@32.83769,-96.697852,17z/data=!4m6!1m3!3m2!1s0x864ea10dd9e84249:0xf119a1252b858b28!2sThe+Royal+Pour!3m1!1s0x0000000000000000:0x9bd9736c961c10f1">GoodFriend Beer Garden</a> ( around the corner and across the steet heading)<br /> <br />FYII:  Also Game 1 of the World Series<br />	Fri, Oct 17, 2014 at 5:29 PM (cwinborn)
22	Dallas Urban Hash	du	Mean Girls	272	No I'm Not &<br />The Mean Girls	7:00 PM CDT	The Corner Bar & Grill<br />4830 McKinney Ave<br />Dallas, TX 75205	https://www.google.com/maps/place/The+Corner+Bar+%26+Grill/@32.826622,-96.785113,17z/data=!3m1!4b1!4m2!3m1!1s0x864e9f226eba8c15:0xb9137ac111571cc5	$7.00	Trail Friendly, On-In is not		7:11 PM CDT	Wednesday, October 22, 2014	Attention plastics, freshman, ROTC guys, preps, JV jocks, asian nerds, cool asians, varsity jocks, unfriendly black hotties, girls who eat their feelings, girls who don’t eat anything, desperate wannabes, burnouts, sexually active band geeks and anyone else I school we call life.<br /><br />You should just know, that we don’t do this a lot, so this is, like, a really huge deal. We wanna invite you to hash with us this Wednesday at 7 pm at the Corner Bar. Being a part of the hashers is like being a part of royalty, although we might be carded at the door for looking so Grool. This trail is gluten free so I suggest you bring your phone. Now, there are some rules if you going to hash with us and if you break any of these rules, you can’t hash with us!<br /><br />On Wednesdays, we wear pink<br />You can only use bug-spray that makes you smell like a baby prostitute<br />We always have a flashlight<br />You can’t wear shiggy socks two days in a row<br />Always bring Virgins with you<br />You can only wear your hair in a ponytail once a week (So I guess you are picking tomorrow)<br />Oh, and we only wear Jeans or Sweat pants on Fridays<br /><br />This trail is going to be so fetch! Also, you better have your phone, there will be three-way phone call attacks and you might need your map. I know some you are from Africa (and for some reason white) so I’ve explained everything below.<br /><br />Date: 10/22/14 (Tomorrow)<br />Time: 7:00 PM<br />Start: The Corner Bar & Grill<br />4830 McKinney Ave<br />Dallas, TX 75205<br />Turds: Trail Friendly, On-In is not<br />Bring: Flashlight, Virgins, Hash Cash, Technology, Pink Attire, and Plastic (ID).<br /><br />Coolness, we will see you tomorrow!<br />- Mean Girls	Tue, Oct 21, 2014 at 10:16 PM (John)
23	FU H3 Hash	fu	The 50 yr old<br />Virgin!		 Pine Cone in the Puss & John Travolta’s Co-Pilot	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=fuh3-thursday-is-a-drinking-day-october-23rd&instance_id=2887	$7.00			7:10 PM CDT	Thursday, October 23, 2014		Tue, Oct 21, 2014 at 1:23 PM (cwinborn)
24	Happy Hour	hh	Three Girls Fracking		PineCone<br />in the Puss	6:00 PM CDT	PCP’s house<br />Fort Worth, 76103<br />214-516-9464		Friendly			7:09 PM CDT	Friday, October 24, 2014	Three Girls Fracking, Just Glendora and Just Aimi are hosting a Halloween Party at PCP’s house!<br /><br />Fort Worth, 76103<br />214-516-9464<br /><br />Address is on our facebook, or call or text me.<br /><br /> <br /><br />Costume Required or we will put one on you! (mustache, hat, face paint, etc.)<br /><br />From 6pm to 9pm we will be having a Family Friendly Halloween pot luck for Big and Little Kids. Adult beverages welcome but be responsible till after 9pm. Thank you!<br /><br /><br /> Tentative schedule:<br />6p: Arrive, Carving pumpkins, Jack-O-Lantern Candle Jar Craft (bring a jar, we will try to have extras)<br />7p: Eat Dinner, start movie “Nightmare Before Christmas”, continue carving pumpkins<br />8p: Movie, Pumpkins, Bob for apples (adding everclear to fight the enterovirus and the ebola!), Roast marshmallows and eat s’mores.<br />9p: Finish movie, kiss the kiddos good night.<br /><br /> <br /><br />After 9pm Adult Halloween Happy Hour (BYOB)<br />Cards Against Humanity upstairs.<br />Charades (possibly using C.A.H) downstairs.<br />Roasting marshmallows and s’mores backyard. <br />Player’s choice: Flippy Cup/Sink the Bismark/Beer Pong backyard/kitchen.<br /><br /> <br /><br />(Noise curfew for Fort Worth is 10 pm, be inside or use indoor voice. Thanks!)<br /><br /> <br /><br />TURDs welcome!<br />Plenty of crash space. Be safe, sleep where you drink/drunk. Attendance does not excuse you from Wanker Yanker's Party the following Friday!<br /><br /> <br /><br />What to bring:<br />Drink of choice. Poisonous punch will be provided. <br />Camp chair, I have some seating around the fire, but not enough.<br /><br /> <br /><br />RSVP if you are bring kiddos and need pumpkins to carve.<br />RSVP if you plan to particiapate in pot luck so we can include you on the list.<br /><br /><a href="mailto:sarahslack@att.net"> sarahslack@att.net</a><br />or 214-516-9464<br /><br />	Thu, Oct 16, 2014 at 11:25 AM (cwinborn)
25	Fort Worth Hash	fw	Through the Looking-Glass	758	TitCock TitCock<br />Gags in the Bush	3:00 PM CDT	<br />The end of Village Way<br />Which is off of Post Oak Blvd.<br />Euless, TX 76040	https://www.google.com/maps/place/32%C2%B049%2712.1%22N+97%C2%B003%2757.0%22W/@32.8198191,-97.0658836,18z/data=!4m2!3m1!1s0x0:0x0	$7.00 &mdash; BYOB prelube &mdash; Virgins pay nothing!	Not Friendly		7:08 PM CDT	Saturday, October 25, 2014	<br /><br /><span style="font-weight:bold;font-size:14pt;font-family:'Trebuchet MS', Arial, Helvetica, sans-serif;color:#22b;">Through the Looking-Glass Hash, and What Alice Found There</span><br /><br /><em>Hares:</em><br />TitCock TitCock<br />Gags in the Bush<br />Queen Ebola III<br />& Just Bob.<br /><br /><br />Cum one cum all to our circus we call a hash trail. <br />There will be beer, there will be liquor and there will be a lot of drunk weirdoes dressed up in costume. How fun is that? Very. Want to see me in a skimpy Alice costume? That's never gonna happen. But you can pick one up at the Spirit Halloween on Preston and Frankford and wear it to our Hash in the Wonderland we call Euless Texas.<br /><br /><em>Bring:</em> Vessels, Costume and Positive Attitude	Fri, Oct 24, 2014 at 7:11 PM (Clodhopper)
27	Happy Hour	cryboys.png	Watch Them Win!		BDB & Jousting FT	7:00 PM CDT	<br />Addison Ice House<br />3875 Ponte Ave #250<br />Addison, TX 75001	https://www.google.com/maps/place/Addison+Ice+House/@32.935412,-96.850921,17z/data=!3m1!4b1!4m2!3m1!1s0x864c27274dd296bd:0x9bf634396493e764				7:06 PM CDT	Monday, October 27, 2014		Mon, Oct 27, 2014 at 3:44 PM (Clodhopper)
28	Trivia Tuesdays	triviaTuesdays.png	Malarkey's Tavern		Silver Fux	7:00 PM CDT	<br /><a href="http://www.malarkeystavern.com/">Malarkey's Tavern</a><br />4460 Trinity Mills Rd<br />Dallas, TX 75287</h5>	https://www.google.com/maps/place/Malarkey%27s+Tavern/@32.989746,-96.831213,17z/data=!3m1!4b1!4m2!3m1!1s0x864c23f9148e0fcb:0x3d508e132e71713d				7:05 PM CDT	Tuesday, October 28, 2014	Because of our “diveristy” the Hash does quite well in these trivia contests. Rest assured: The Eisenhower Administration will be covered.<br />Somebody get there early and grab a table.	Mon, Oct 27, 2014 at 2:40 PM (Clodhopper)
29	Dallas Urban Hash	du	Halloween Theme:<br />“Animal House”	273	Milfshake, Ho-Ho<br />&amp; Wenis	7:00 PM CDT<img src="IMG_4136.jpg" style="margin-left:12px;float:right;" />	<br />The Underpass<br />650 Exposition Ave<br />Dallas, TX 75226	https://www.google.com/maps/place/650+Exposition+Ave,+Dallas,+TX+75226/@32.7831905,-96.7701263,17z/data=!4m2!3m1!1s0x864e98955a00c405:0xebe58eb12f2a29ea?hl=en	$7.00 x	TURDS are welcome at this on-in &#x1F604; but only if the weather is nice! If we have to be indoors then I doubt it!! So pray for no rain!!!		7:04 PM CDT	Wednesday, October 29, 2014	Now waaaaaaaaaaaaaait a minute....<br /><br />You know you make me want to.....<br /><br />HASH! <br /><br />Kick my heels up and HASH! <br /><br />Throw my head back and HASH!<br /><br />Cum join the Dallas Urban Hash House Harriers for the annual Halloween trail! Your fearless, and super hot, hares will be: Milfshake, Horny Hooker, and Wenis.  <br /><br />There will be boobs! There will be BEER! There will be a....TOGA PARTY!!!!<br /><br /><em>THEME:</em> Animal House! Togas, cheesy outfits from the late 70’s, COLLEGE sweatshirts, camo, anyone have an ROTC outfit??? &#x1F604; COME ON!!!!  <br /><br />If you don't show up...<br /><br /><span style="font-style:italic;color:#a0a;">What the fuck happened to the DUHHH I used to know? Where’s the spirit? Where's the guts, huh? This could be the greatest night of our lives, but you're gonna let it be the worst. “Ooh, we're afraid to go with you Wenis, we might get in trouble.” Well just kiss my ass from now on!</span><br /><br />It'll be the best trail ever! It'll be long! It'll be hard! (just like we like it) It’ll be wet. It'll be dry! There will be shiggy! No shiggy! A vodka waterfall! Exotic dancers! Escargot! Cheap yellow beer! Fancy ass beer! Never trust the hare!  <br /><br />The nitty gritty:<br /><br />BRING: Virgins, old hashers, half-ass hashers, backsliders, and visitors (and a whistle, probably a flashlight and the normal hashing shit) <br />Hash Cash: $7<br />Date: Wed Oct 29th<br />Time: Gather 6:30, pack away at 7:00<br />On-Start: The Underpass - 650 Exposition Ave - Dallas, TX 75226<br /><br />	Tue, Oct 28, 2014 at 10:48 AM (Clodhopper)
30	FU H3 Hash	fh	Halloween<br />Pub Crawl!		Gangrene Hose	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=fuh3-114-october-30th-gangrene-hose&instance_id=2888	$7.00			7:03 PM CDT	Thursday, October 30, 2014		Wed, Oct 29, 2014 at 1:15 PM (Clodhopper)
31	Happy Hour	hh	Wanker Yanker's Anal<br />Hollow Weenie Party		Double Dribble	7:00 PM CDT	3922 Belvoir Circle<br />Dallas, TX	https://goo.gl/maps/NUZ7n	Nil	Nope		7:02 PM CDT	Friday, October 31, 2014	An 18 year hash tradition.<br /><br /> Costumes recommended. Prizes for best female & male.<br /><br /> Crash space available; bring sleeping bag, pillow, ….<br /><br />We'll have beer, sodas, taco bar, and more beer.<br /><br /> Let us know if you think you'll be cumming so that we can plan food quantities.<br /><br /> We have cats.<br /><br /> It will be cool outside. Bring folding chair. And maybe a towel, too.<br /><br /> W.C. Fields rule: no children or dogs.<br /><br /> Double Dribble: (972) 849-2038	Thu, Oct 30, 2014 at 9:06 AM (Double)
